"contactid"	"publicationid"	"pubtype"	"year"	"articletitle"	"citation"	"journal"	"volume"	"issue"	"pages"	"doi"	"booktitle"	"publisher"	"contactid.1"	"numvolumes"	"edition"	"volumetitle"	"seriestitle"	"seriesvolume"	"citationnumber"	"url"	"city"	"state"	"country"	"originallanguage"	"contactid.2"	"notes"
NA	1	NA	"1965"	"Catlogo paleomastozoolgico mexicano"	NA	"Publicaciones del Departamento de Prehistoria"	17	NA	"1-70"	NA	"Publicaciones del Departamento de Prehistoria"	"Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	2	NA	"1987"	"Nomenclatura especfica de los Equidae del Pleistoceno de Mxico"	NA	"Anales de la Escuela Nacional de Ciencias Biolgicas"	31	NA	"125-132"	NA	"Anales de la Escuela Nacional de Ciencias Biolgicas"	"Instituto Politcnico Nacional"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	3	NA	"1991"	"Nothrotheriops from the Pleistocene of Oklahoma and paleography of the genus"	NA	"The Southwestern Naturalist"	36	NA	"178-185"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	4	NA	"1984"	"Review of the small carnivores of North America during the last 3.5 million years"	NA	"Special Publication, Carnegie Museum of Natural History"	8	NA	"257-266"	NA	"Special Publication, Carnegie Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	5	NA	"1951"	"Research on the continental Neogene of Mexico"	NA	"American Journal of Science"	249	NA	"604-616"	NA	"American Journal of Science"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	6	NA	"1991"	"New studies on San Josecito Cave, Nuevo Leon, Mexico"	NA	"Cave Research Foundation 1990 Annual Report"	0	NA	"43-44"	NA	"Cave Research Foundation 1990 Annual Report"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	7	NA	"1992"	"Sinopsis de los murcilagos fsiles de Mxico"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	5	NA	"1-14"	NA	"Revista de la Sociedad Mexicana de Paleontologa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	8	NA	"1989"	"An initial reappraisal of San Josecito Cave and its Late Pleistocene fauna"	NA	"Current Research in the Pleistocene"	6	NA	"63-65"	NA	"Current Research in the Pleistocene"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	9	NA	"1969"	"Nota sobre carnvoros fsiles del Pleistoceno de Mxico"	NA	"Paleoecologa"	5	NA	"1-20"	NA	"Paleoecologa"	"Departamento de Prehistoria, Instituto Nacional de Antropologa e Historia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	10	NA	"1993"	"Analysis of Navahoceros"	NA	"Journal of Vertebrate Paleontology, Supplement"	13	NA	"26A-27A"	NA	"Journal of Vertebrate Paleontology, Supplement"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	11	NA	"1955"	"Pleistocene lizards from San Josecito Cavern, Mexico, with description of a new species"	NA	"Copeia"	1955	NA	"133-134"	NA	"Copeia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	12	NA	"1982"	"Origin and differentiation of the Island fox: a study of evolution in insular populations"	NA	NA	0	NA	NA	NA	NA	"University of California"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	13	NA	"1945"	"Quaternary rodents and lagomorphs of San Josecito Cave, Nuevo Leon, Mexico"	NA	"Journal of Mammalogy"	26	NA	"182-185"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	14	NA	"1970"	"Systematics and zoogeography of Middle American shrews of the genus Cryptotis"	NA	"University of Kansas Publications, Museum of Natural History"	19	NA	"195-317"	NA	"University of Kansas Publications, Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	15	NA	"1979"	"The little horses (genus Equus) of the Pleistocene of North America"	NA	"The American Midland Naturalist"	101	NA	"241-244"	NA	"The American Midland Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	16	NA	"1982"	"Analyses multidimensionnelles de mtapodes d' Equus sensu lato (Mammalia, Perissodactyla)"	NA	"Bull. Mus. nat. Hist. nat., Paris"	0	NA	"75-103"	NA	"Bull. Mus. nat. Hist. nat., Paris"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	17	NA	"1953"	"Pleistocene Soricidae from San Josecito Cave, Nuevo Leon, Mexico"	NA	"University of Kansas Publications, Museum of Natural History"	5	NA	"633-639"	NA	"University of Kansas Publications, Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	18	NA	"1981"	"A revision of the fossil Erethizontidae of North America"	NA	"Bulletin of the Florida State Museum, Biological Sciences"	27	NA	"1-76"	NA	"Bulletin of the Florida State Museum, Biological Sciences"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	19	NA	"1973"	"Systematics and evolutionary relationships of spiny pocket mice, genus Liomys"	NA	"Special Publications, The Museum, Texas Tech University"	0	NA	"1-368"	NA	"Special Publications, The Museum, Texas Tech University"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	20	NA	"1960"	"Small carnivores from San Josecito Cave (Pleistocene), Nuevo Len, Mxico."	NA	"University of Kansas Publications, Museum of Natural History"	9	NA	"531-538"	NA	"University of Kansas Publications, Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	21	NA	"1959"	"A revision of the American bats of the genera Euderma and Plecotus"	NA	"Proceedings U.S. National Museum"	110	NA	"95-249"	NA	"Proceedings U.S. National Museum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	22	NA	"1955"	"A new Pleistocene bat (Corynorhinus) from Mexico"	NA	"Journal of the Washington Academy of Sciences"	45	NA	"48-49"	NA	"Journal of the Washington Academy of Sciences"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	23	NA	"1971"	"A Pleistocene mountain goat from British Columbia and comments on the dispersal history of Oreamnos"	NA	"Canadian Journal of Earth Sciences"	8	NA	"1081-1093"	NA	"Canadian Journal of Earth Sciences"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	24	NA	"1977"	"Wisconsin age environments in the northern Chihuahuan desert: evidence from higher vertebrates"	NA	"Transactions of the Symposium on the Biological Resources of the Chihuahuan desert region, United States and Mexico. National Park Service transactions and Proceedings Series"	0	NA	"23-52"	NA	"Transactions of the Symposium on the Biological Resources of the Chihuahuan desert region, United States and Mexico. National Park Service transactions and Proceedings Series"	"U. S. Department of the Interior"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	25	NA	"1990"	"Taxonomic status of the Pleistocene ringtail Bassariscus sonoitensis (Carnivora)"	NA	"The Southwestern Naturalist"	35	NA	"343-346"	NA	"The Southwestern Naturalist"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	26	NA	"1958"	"Summary of the North American Pleistocene mammalian local faunas"	NA	"Papers of the Michigan Academy of Science, Arts, and Letters"	63	NA	"3-32"	NA	"Papers of the Michigan Academy of Science, Arts, and Letters"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	27	NA	"1952"	"A systematic review of the harvest mice (Genus Reithrodontomys) of Latin America"	NA	"Miscellaneus Publications, Museum of Zoology, University of Michigan"	77	NA	NA	NA	"Miscellaneus Publications, Museum of Zoology, University of Michigan"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	28	NA	"1967"	"A Pleistocene vampire bat (Desmodus stocki) from Potter Creek Cave, Shasta County, California"	NA	"Paleobios (Contributions from the University of California Museum of Paleontology)"	3	NA	"1-6"	NA	"Paleobios (Contributions from the University of California Museum of Paleontology)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	29	NA	"1958"	"Pleistocene Lagomorpha and Rodentia from the San Josecito Cave, Nuevo Leon, Mexico"	NA	"Transactions of the Kansas Academy of Sciences"	61	NA	"313-327"	NA	"Transactions of the Kansas Academy of Sciences"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	30	NA	"1958"	"Pleistocene bats from San Josecito Cave, Nuevo Len, Mxico"	NA	"University of Kansas Publications, Museum of Natural History"	9	NA	"389-396"	NA	"University of Kansas Publications, Museum of Natural History"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	31	NA	"1963"	"Fossil bears from Texas"	NA	"The Pearce-Sellards Series"	0	NA	"1-15"	NA	"The Pearce-Sellards Series"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	32	NA	"1973"	"Pleistocene jaguars in North America"	NA	"Commentationes Biologicae"	0	NA	"3-23"	NA	"Commentationes Biologicae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	33	NA	"1976"	"Fossil puma (Mammalia: Felidae) in North America"	NA	"Netherlands Journal of Zoology"	26	NA	"502-534"	NA	"Netherlands Journal of Zoology"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	34	NA	"1975"	"A new Pleistocene genus of American mountain deer"	NA	"Journal of Mammalogy"	56	NA	"507-508"	NA	"Journal of Mammalogy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
