publicationid,pubtypeid,year,citation,articletitle,journal,volume,issue,pages,citationnumber,doi,booktitle,numvolumes,edition,volumetitle,seriestitle,seriesvolume,publisher,url,city,state,country,originallanguage,notes,recdatecreated,recdatemodified
1,7,2006,"International Organization for Standardization. 2006. Codes for the representation of names of countries and their subdivisions — Part 1: Country codes. ISO 3166-1, Geneva, Switzerland.",Codes for the representation of names of countries and their subdivisions — Part 1: Country codes,,,,,,,,,,,ISO,3166-1,,,Geneva,,Switzerland,,,2013-09-30 14:02:54,2013-09-30 14:02:54
2,7,2004,"United States Central Intelligence Agency. 2004. CIA World Factbook. Washington, DC, USA.",CIA World Factbook,,,,,,,,,,,,,,,"Washington, DC",,USA,,,2013-09-30 14:02:54,2013-09-30 14:02:54
3,2,1978,"Davis, M.B. 1978. Climatic interpretation of pollen in Quaternary sediments. Pages 35-51 in D. Walker and J.C. Guppy, editors. Biology and Quaternary environments. Australian Academy of Science, Canberra City, Australia.",Climatic interpretation of pollen in Quaternary sediments,,,,35-51,,,Biology and Quaternary environments,,,,,,Australian Academy of Science,,Canberra City,,Australia,,,2013-09-30 14:02:54,2013-09-30 14:02:54
5,1,1968,"Janssen, C.R. 1968. Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota. Canadian Journal of Botany 46(11):1397-1410. [DOI: 10.1139/b68-190]",Myrtle Lake: a late- and post-glacial pollen diagram from northern Minnesota,Canadian Journal of Botany,46,11,1397-1410,,10.1139/b68-190,,,,,,,,,,,,,,2013-09-30 14:02:54,2018-01-31 16:36:03
6,1,1977,"Sirkin, L.A., C.S. Denny, and M. Rubin. 1977. Late Pleistocene environment of the central Delmarva Peninsula, Delaware-Maryland. Geological Society of America Bulletin 88:139-142.","Late Pleistocene environment of the central Delmarva Peninsula, Delaware-Maryland",Geological Society of America Bulletin,88,,139-142,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
7,2,1982,"Maher, L.J., Jr. 1982. The palynology of Devils Lake, Sauk County, Wisconsin. Pages 119-135 in J.C. Knox, L. Clayton, and D.M. Mickelson, editors. Quaternary History of the Driftless Area. Field Trip Guide Book 5. University of Wisconsin-Extension, Geological and Natural History Survey, Madison, Wisconsin, USA. Notes: Prepared for 29th Annual Meeting Midwest Friends of the Pleistocene, Prairie du Chien, Wisconsin, May 22 and 23, 1982.","The palynology of Devils Lake, Sauk County, Wisconsin",,,,119-135,,,Quaternary History of the Driftless Area,,,,Field Trip Guide Book,5,"University of Wisconsin-Extension, Geological and Natural History Survey",,Madison,Wisconsin,USA,,"Prepared for 29th Annual Meeting Midwest Friends of the Pleistocene, Prairie du Chien, Wisconsin, May 22 and 23, 1982.",2013-09-30 14:02:54,2013-09-30 14:02:54
8,1,1986,"Jacobson, G.L., Jr., and E.C. Grimm. 1986. A numerical analysis of Holocene forest and prairie vegetation in central Minnesota. Ecology 67(4):958-966. [DOI: 10.2307/1939818]",A numerical analysis of Holocene forest and prairie vegetation in central Minnesota,Ecology,67,4,958-966,,10.2307/1939818,,,,,,,,,,,,,,2013-09-30 14:02:54,2015-05-23 16:53:36
9,1,1972,"Craig, A.J. 1972. Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota. Ecology 53(1):46-57. [DOI: 10.2307/1935709]",Pollen influx to laminated sediments: a pollen diagram from northeastern Minnesota,Ecology,53,1,46-57,,10.2307/1935709,,,,,,,,,,,,,,2013-09-30 14:02:54,2017-01-05 05:44:23
10,1,1979,"Delcourt, H.R. 1979. Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee. Ecological Monographs 49(3):255-280. [DOI: 10.2307/1942485]",Late Quaternary vegetation history of the eastern Highland Rim and adjacent Cumberland Plateau of Tennessee,Ecological Monographs,49,3,255-280,,10.2307/1942485,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-10-23 05:24:01
11,1,1979,"Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469.",Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain,Ecological Monographs,49,,427-469,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
